location_id,guest_user_available,name,description,area,rating,category,category_name,category_resource,latitude,longitude,coordinates,website,address,phone,reviews,medias,media_urls,favorite_locations,updatedAt,Country,Geocode cache
rec0AaSIRyUEWMJWe,,"Thilak Motors
",Only repair motorbikes - 04/09/2025,,5,Mechanics,Mechanics,https://ik.imagekit.io/kkflp95sa/TukTukRental/categories/Mechanics_R3J_r2hCx.png?updatedAt=1728630066523,7.4346533,80.4474569,"7.4346533,80.4474569",,,776178359,,,,,30/9/2025 3:22pm,Sri Lanka,
rec0agrf49ispLrBi,,Fuel Station,,,5,FuelStations,Fuel Stations,https://ik.imagekit.io/kkflp95sa/TukTukRental/categories/Fuel%20Stations_A0gnJGSs7.png?updatedAt=1728630061584,6.5792057,79.9622241,"6.5792057,79.9622241",,,,,,,,21/3/2025 3:36pm,Sri Lanka,🔵 eyJpIjoiNi41NzkyMDU3LDc5Ljk2MjIyNDEiLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0Ijo2LjU3OTIwNiwibG5nIjo3OS45NjIyMjQsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaUtDVDJTekw0TDNTcU5OIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZEFyc2I5Vk9DYzJtY1VmIn0sImUiOjB9
rec0aousdj9scK4yK,,Gomarankadawala Hot Springs,Providing wells with water at a temperature of 42 degrees centigrade the Gomarankadawala Hot Springs are located along the Trincomalee – Horowpathana road.,Macchanu - Zone 2,3,UniqueExperiences,Unique Experiences,https://ik.imagekit.io/kkflp95sa/TukTukRental/categories/Unique%20Experiences_7m9kzpak7.png?updatedAt=1728630071808,8.70757171,80.99197459,"8.70757171,80.99197459",,,,"reciVFRePOnuxbFLM,recBNNly3oFidroNy,rec9qEXBYhORi9Dak,recLUJezCGh9W9tU4","4446,4447","https://ik.imagekit.io/kkflp95sa/TukTukRental/locations/SriLanka/rec0aousdj9scK4yK_1.jpeg, https://ik.imagekit.io/kkflp95sa/TukTukRental/locations/SriLanka/rec0aousdj9scK4yK_2.jpeg",,21/3/2025 3:36pm,Sri Lanka,🔵 eyJpIjoiOC43MDc1NzE3MSw4MC45OTE5NzQ1OSIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjguNzA3NTcyLCJsbmciOjgwLjk5MTk3NSwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpS0NUMlN6TDRMM1NxTk4iXSwibG9jYXRpb25GaWVsZElkIjoiZmxkQXJzYjlWT0NjMm1jVWYifSwiZSI6MH0=
rec0B89JYGH0nEaxF,,Mechanic - Seeduwa,"Only does repairs, no parts and no cleaning. ",,5,Mechanics,Mechanics,https://ik.imagekit.io/kkflp95sa/TukTukRental/categories/Mechanics_R3J_r2hCx.png?updatedAt=1728630066523,7.1332764,79.898176,"7.1332764,79.898176",,,785192947,,,,,30/9/2025 3:22pm,Sri Lanka,
rec0bCNPoz3iQuZj2,,Denipitiya Fuel Station,,,5,FuelStations,Fuel Stations,https://ik.imagekit.io/kkflp95sa/TukTukRental/categories/Fuel%20Stations_A0gnJGSs7.png?updatedAt=1728630061584,5.9834418,80.4525908,"5.9834418,80.4525908",,,,,,,,21/3/2025 3:36pm,Sri Lanka,🔵 eyJpIjoiNS45ODM0NDE4LDgwLjQ1MjU5MDgiLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0Ijo1Ljk4MzQ0MiwibG5nIjo4MC40NTI1OTEsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaUtDVDJTekw0TDNTcU5OIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZEFyc2I5Vk9DYzJtY1VmIn0sImUiOjB9
rec0bTgux7D835tbP,,Coppara Junction Filling station,,,5,FuelStations,Fuel Stations,https://ik.imagekit.io/kkflp95sa/TukTukRental/categories/Fuel%20Stations_A0gnJGSs7.png?updatedAt=1728630061584,7.2143265,79.8469437,"7.2143265,79.8469437",,,,,,,,21/3/2025 3:36pm,Sri Lanka,🔵 eyJpIjoiNy4yMTQzMjY1LDc5Ljg0Njk0MzciLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0Ijo3LjIxNDMyNywibG5nIjo3OS44NDY5NDQsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaUtDVDJTekw0TDNTcU5OIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZEFyc2I5Vk9DYzJtY1VmIn0sImUiOjB9
rec0CDIu9YNDz8YsK,checked,Kirigalpottha Mountain,Sri Lanka’s Kirigalpottha Mountain in the Nuwara Eliya District at a height of 2388m is the country’s second tallest mountain. A feature of the mountain which gave it its name is its tall trees which have mottled white bark.,Sharabha - Zone 4,5,HikesnViews,Hikes n Views,https://ik.imagekit.io/kkflp95sa/TukTukRental/categories/Hiking%20and%20Views_OAYLrEk2mC.png?updatedAt=1728630062422,6.80081910,80.76581950,"6.80081910,80.76581950",,,,recwbXEfKAqmFHgNc,"4440,4441","https://ik.imagekit.io/kkflp95sa/TukTukRental/locations/SriLanka/rec0CDIu9YNDz8YsK_1.jpeg, https://ik.imagekit.io/kkflp95sa/TukTukRental/locations/SriLanka/rec0CDIu9YNDz8YsK_2.jpeg",,21/3/2025 3:36pm,Sri Lanka,🔵 eyJpIjoiNi44MDA4MTkxMCw4MC43NjU4MTk1MCIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjYuODAwODE5LCJsbmciOjgwLjc2NTgyLCJibG9ja0luc3RhbGxhdGlvbklkcyI6WyJibGlLQ1QyU3pMNEwzU3FOTiJdLCJsb2NhdGlvbkZpZWxkSWQiOiJmbGRBcnNiOVZPQ2MybWNVZiJ9LCJlIjowfQ==
rec0Dix2rMwQlhH8F,,The Place-Galle,,,4,Accommodation,Accommodation,https://ik.imagekit.io/kkflp95sa/TukTukRental/categories/Accommodation_eXD625qUuj.png?updatedAt=1728630048891,6.0041482,80.2591221,"6.0041482,80.2591221",,,,,,,,21/3/2025 3:36pm,Sri Lanka,🔵 eyJpIjoiNi4wMDQxNDgyLDgwLjI1OTEyMjEiLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0Ijo2LjAwNDE0OCwibG5nIjo4MC4yNTkxMjIsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaUtDVDJTekw0TDNTcU5OIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZEFyc2I5Vk9DYzJtY1VmIn0sImUiOjB9
rec0fULufk9g7UhIs,,IOC Filling Station,,,5,FuelStations,Fuel Stations,https://ik.imagekit.io/kkflp95sa/TukTukRental/categories/Fuel%20Stations_A0gnJGSs7.png?updatedAt=1728630061584,8.5002039,81.1916333,"8.5002039,81.1916333",,,,,,,,21/3/2025 3:36pm,Sri Lanka,🔵 eyJpIjoiOC41MDAyMDM5LDgxLjE5MTYzMzMiLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0Ijo4LjUwMDIwNCwibG5nIjo4MS4xOTE2MzMsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaUtDVDJTekw0TDNTcU5OIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZEFyc2I5Vk9DYzJtY1VmIn0sImUiOjB9
rec0hBjNhrChXljmP,checked,Gal Ekka Ella,Due to it being located underneath the Gal Ella rail bridge it is relatively unknown. However for those that want to visit this 5 meter high waterfall it is only a 1.15kms hike from the Heeloya railway station.,Macchanu - Zone 2,2,Waterfalls,Waterfalls,https://ik.imagekit.io/kkflp95sa/TukTukRental/categories/Waterfalls_9p71Dn9Vm.png?updatedAt=1728630048678,6.83138410,81.01566910,"6.83138410,81.01566910",,,,,"4448,4449","https://ik.imagekit.io/kkflp95sa/TukTukRental/locations/SriLanka/rec0hBjNhrChXljmP_1.jpeg, https://ik.imagekit.io/kkflp95sa/TukTukRental/locations/SriLanka/rec0hBjNhrChXljmP_2.jpeg",,21/3/2025 3:36pm,Sri Lanka,🔵 eyJpIjoiNi44MzEzODQxMCw4MS4wMTU2NjkxMCIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjYuODMxMzg0LCJsbmciOjgxLjAxNTY2OSwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpS0NUMlN6TDRMM1NxTk4iXSwibG9jYXRpb25GaWVsZElkIjoiZmxkQXJzYjlWT0NjMm1jVWYifSwiZSI6MH0=
